MEMID,CMTTEID,CHAMBER,CMTTEETYPE,NAME,PARTY,STATE,DIST,year
H4MN06087,C00545749,H,P,"EMMER, THOMAS EARL JR.",REP,MN,6,2018
H4MO05234,C00395848,H,P,"CLEAVER, EMANUEL II",DEM,MO,5,2018
H4MO08162,C00573436,N,J,"SMITH, JASON T",REP,MO,8,2018
H4MO08162,C00541862,H,P,"SMITH, JASON T",REP,MO,8,2018
H4MS02068,C00279851,H,P,"THOMPSON, BENNIE G.",DEM,MS,2,2018
H4MT01041,C00566240,N,J,"ZINKE, RYAN K",REP,MT,0,2018
H4MT01041,C00550871,H,P,"ZINKE, RYAN K",REP,MT,0,2018
H4NC01046,C00401190,H,P,"BUTTERFIELD, G. K.",DEM,NC,1,2018
H4NC05146,C00638833,N,J,"FOXX, VIRGINIA ANN",REP,NC,5,2018
H4NC05146,C00386748,H,P,"FOXX, VIRGINIA ANN",REP,NC,5,2018
H4NC06052,C00543231,H,P,"WALKER, BRADLEY MARK MR.",REP,NC,6,2018
H4NC10047,C00393629,H,P,"MCHENRY, PATRICK",REP,NC,10,2018
H4NC12100,C00546358,H,P,"ADAMS, ALMA SHEALEY",DEM,NC,12,2018
H4NE01064,C00395467,H,P,"FORTENBERRY, JEFFREY L. HONORABLE",REP,NE,1,2018
H4NJ01084,C00558320,H,P,"NORCROSS, DONALD W",DEM,NJ,1,2018
H4NJ03130,C00557520,H,P,"MACARTHUR, THOMAS",REP,NJ,3,2018
H4NJ12149,C00558437,H,P,"COLEMAN, BONNIE WATSON",DEM,NJ,12,2018
H4NY04075,C00555813,H,P,"RICE, KATHLEEN",DEM,NY,4,2018
H4NY11138,C00415331,H,P,"CLARKE, YVETTE",DEM,NY,9,2018
H4NY11138,C00398941,H,A,"CLARKE, YVETTE",DEM,NY,9,2018
H4NY21079,C00573469,H,J,"STEFANIK, ELISE M.",REP,NY,21,2018
H4NY21079,C00567677,H,J,"STEFANIK, ELISE M.",REP,NY,21,2018
H4NY21079,C00547893,H,P,"STEFANIK, ELISE M.",REP,NY,21,2018
H4NY22051,C00561183,H,A,"TENNEY, CLAUDIA",REP,NY,22,2018
H4NY22051,C00632828,H,P,"TENNEY, CLAUDIA",REP,NY,22,2018
H4NY24073,C00573477,H,J,"KATKO, JOHN M",REP,NY,24,2018
H4NY24073,C00556365,H,P,"KATKO, JOHN M",REP,NY,24,2018
H4NY27076,C00401034,H,P,"HIGGINS, BRIAN",DEM,NY,26,2018
H4OK05132,C00558510,H,P,"RUSSELL, STEVEN DANE",REP,OK,5,2018
H4OK06056,C00287912,H,P,"LUCAS, FRANK D.",REP,OK,3,2018
H4PA13199,C00543363,H,P,"BOYLE, BRENDAN F",DEM,PA,2,2018
H4PA15087,C00386847,H,P,"DENT, CHARLES WIEDER",REP,PA,15,2018
H4PA18131,C00290064,H,P,"DOYLE, MICHAEL",DEM,PA,18,2018
H4SC01073,C00285254,H,P,"SANFORD, MARSHALL C. HON.",REP,SC,1,2018
H4TX02108,C00392670,H,P,"POE, TED",REP,TX,2,2018
H4TX04039,C00386532,H,P,"GOHMERT, LOUIS B. MR. JR.",REP,TX,1,2018
H4TX04153,C00554113,H,P,"RATCLIFFE, JOHN L",REP,TX,4,2018
H4TX06117,C00195065,H,P,"BARTON, JOE LINUS",REP,TX,6,2018
H4TX09095,C00578567,H,P,"GREEN, ALEXANDER",DEM,TX,9,2018
H4TX10028,C00286500,H,P,"DOGGETT, LLOYD",DEM,TX,35,2018
H4TX10093,C00392688,H,P,"MCCAUL, MICHAEL",REP,TX,10,2018
H4TX13014,C00286187,H,P,"THORNBERRY, MAC",REP,TX,13,2018
H4TX18054,C00287904,H,P,"LEE, SHEILA JACKSON",DEM,TX,18,2018
H4TX19136,C00493569,N,J,"CONAWAY, MICHAEL HONORABLE",REP,TX,11,2018
H4TX19136,C00383828,H,P,"CONAWAY, MICHAEL HONORABLE",REP,TX,11,2018
H4TX24094,C00393348,H,P,"MARCHANT, KENNY E MR.",REP,TX,24,2018
H4VA07143,C00554949,H,P,"BRAT, DAVID ALAN MR.",REP,VA,7,2018
H4VA08224,C00555888,H,P,"BEYER, DONALD STERNOFF HONORABLE JR.",DEM,VA,8,2018
H4VA10089,C00554261,H,P,"COMSTOCK, BARBARA",REP,VA,10,2018
H4VA10089,C00573469,H,J,"COMSTOCK, BARBARA",REP,VA,10,2018
H4VA10089,C00567677,H,J,"COMSTOCK, BARBARA",REP,VA,10,2018
H4WA04104,C00559393,H,P,"NEWHOUSE, DAN",REP,WA,4,2018
H4WA05077,C00390476,H,P,"MCMORRIS RODGERS, CATHY",REP,WA,5,2018
H4WA05077,C00543199,N,J,"MCMORRIS RODGERS, CATHY",REP,WA,5,2018
H4WA08071,C00397737,H,P,"REICHERT, DAVE",REP,WA,8,2018
H4WI04183,C00397505,H,P,"MOORE, GWEN S",DEM,WI,4,2018
H4WI06048,C00561597,H,P,"GROTHMAN, GLENN S.",REP,WI,6,2018
H4WV02080,C00629949,H,P,"MOONEY, ALEXANDER XAVIER",REP,WV,2,2018
H4WV02080,C00572362,N,D,"MOONEY, ALEXANDER XAVIER",REP,WV,2,2018
H4WV02080,C00568113,N,J,"MOONEY, ALEXANDER XAVIER",REP,WV,2,2018
H4WV02080,C00506774,H,A,"MOONEY, ALEXANDER XAVIER",REP,WV,2,2018
H6AK00045,,,,"JENKINS, EVAN H",REP,WV,3,2018
H6AK00045,C00012229,H,P,"YOUNG, DONALD E",REP,AK,0,2018
H6AL04098,C00313247,H,P,"ADERHOLT, ROBERT B. REP.",REP,AL,4,2018
H6AZ01199,C00582890,H,P,"O'HALLERAN, TOM",DEM,AZ,1,2018
H6AZ05083,C00610451,H,P,"BIGGS, ANDY MR.",UNK,AZ,5,2018
H6CA05195,C00409219,H,P,"MATSUI, DORIS",DEM,CA,6,2018
H6CA20152,C00592154,H,P,"PANETTA, JIMMY",DEM,CA,20,2018
H6CA22125,C00541011,N,J,"MCCARTHY, KEVIN",REP,CA,23,2018
H6CA22125,C00484360,N,J,"MCCARTHY, KEVIN",REP,CA,23,2018
H6CA22125,C00420935,H,P,"MCCARTHY, KEVIN",REP,CA,23,2018
H6CA24113,C00308742,H,P,"SHERMAN, BRAD",DEM,CA,30,2018
H6CA24303,C00576041,H,P,"CARBAJAL, SALUD",DEM,CA,24,2018
H6CA24303,C00623900,N,J,"CARBAJAL, SALUD",DEM,CA,24,2018
H6CA39020,C00571547,N,J,"ROYCE, ED MR.",REP,CA,39,2018
H6CA39020,C00200865,H,A,"ROYCE, ED MR.",REP,CA,39,2018
H6CA39020,C00609230,H,J,"ROYCE, ED MR.",REP,CA,39,2018
H6CA44103,C00577353,H,P,"BARRAGAN, NANETTE",DEM,CA,44,2018
H6CA46116,C00578302,H,P,"CORREA, JOSE",DEM,CA,46,2018
H6CO01141,C00311639,H,P,"DEGETTE, DIANA L.",DEM,CO,1,2018
H6CO03139,C00470757,H,P,"TIPTON, SCOTT R. MR.",REP,CO,3,2018
H6CO03139,C00493783,H,J,"TIPTON, SCOTT R. MR.",REP,CO,3,2018
H6CO05159,C00420745,H,P,"LAMBORN, DOUGLAS",REP,CO,5,2018
H6CO07023,C00410639,H,P,"PERLMUTTER, EDWIN G",DEM,CO,7,2018
H6DE00206,C00590778,H,P,"BLUNT ROCHESTER, LISA",DEM,DE,0,2018
H6FL01119,C00612432,H,P,"GAETZ, MATT",REP,FL,1,2018
H6FL02208,C00582304,H,P,"DUNN, NEAL PATRICK MD, FACS",REP,FL,2,2018
H6FL04105,C00615294,H,P,"RUTHERFORD, JOHN",REP,FL,4,2018
H6FL07140,C00620443,H,P,"MURPHY, STEPHANIE",DEM,FL,7,2018
H6FL09070,C00408534,H,P,"BILIRAKIS, GUS M",REP,FL,12,2018
H6FL09070,C00624841,N,J,"BILIRAKIS, GUS M",REP,FL,12,2018
H6FL09179,C00581074,H,P,"SOTO, DARREN",DEM,FL,9,2018
H6FL11126,C00410761,H,P,"CASTOR, KATHY",DEM,FL,14,2018
H6FL13148,C00412759,H,P,"BUCHANAN, VERNON",REP,FL,16,2018
H6FL13148,C00466466,N,J,"BUCHANAN, VERNON",REP,FL,16,2018
H6FL13205,C00590067,H,P,"CRIST, CHARLIE JOSEPH",DEM,FL,13,2018
H6FL18097,C00632257,H,P,"MAST, BRIAN",REP,FL,18,2018
H6FL18097,C00579896,H,A,"MAST, BRIAN",REP,FL,18,2018
H6FL19087,C00618223,H,P,"ROONEY, FRANCIS",REP,FL,19,2018
H6GA03113,C00607838,H,P,"FERGUSON, ANDERSON DREW IV",REP,GA,3,2018
H6GA03113,C00638833,N,J,"FERGUSON, ANDERSON DREW IV",REP,GA,3,2018
H6GA04129,C00418293,H,P,"JOHNSON, HENRY C. 'HANK",DEM,GA,4,2018
H6GA05217,C00202416,H,P,"LEWIS, JOHN R.",DEM,GA,5,2018
H6IA02146,C00414318,H,P,"LOEBSACK, DAVID WAYNE",DEM,IA,2,2018
H6IL06117,C00484360,N,J,"ROSKAM, PETER",REP,IL,6,2018
H6IL06117,C00410969,H,P,"ROSKAM, PETER",REP,IL,6,2018
H6IL06117,C00494674,N,J,"ROSKAM, PETER",REP,IL,6,2018
H6IL08147,C00575092,H,P,"KRISHNAMOORTHI, S. RAJA",DEM,IL,8,2018
H6IL18088,C00575050,H,P,"LAHOOD, DARIN MCKAY",REP,IL,18,2018
H6IN03229,C00577999,H,P,"BANKS, JAMES E",REP,IN,3,2018
H6IN09176,C00590463,H,P,"HOLLINGSWORTH, TREY",REP,IN,9,2018
H6KS01179,C00576173,H,P,"MARSHALL, ROGER W",REP,KS,1,2018
H6KY01110,C00588764,H,P,"COMER, JAMES",REP,KY,1,2018
H6KY03124,C00419630,H,P,"YARMUTH, JOHN A",DEM,KY,3,2018
H6LA03148,C00617662,H,P,"HIGGINS, CLAY CAPTAIN",REP,LA,3,2018
H6LA04138,C00608695,H,P,"JOHNSON, JAMES MICHAEL",REP,LA,4,2018
H6MD03292,C00415182,H,P,"SARBANES, JOHN P. MR.",DEM,MD,3,2018
H6MD04209,C00574640,H,P,"BROWN, ANTHONY",DEM,MD,4,2018
H6MD07160,C00310318,H,P,"CUMMINGS, ELIJAH E",DEM,MD,7,2018
H6MD08457,C00575126,H,P,"RASKIN, JAMIE",DEM,MD,8,2018
H6MI01028,C00409797,H,P,"CONYERS, JOHN JR.",DEM,MI,13,2018
H6MI01226,C00614214,H,P,"BERGMAN, JOHN",REP,MI,1,2018
H6MI04113,C00200584,H,P,"UPTON, FREDERICK STEPHEN",REP,MI,6,2018
H6MI04113,C00501288,N,J,"UPTON, FREDERICK STEPHEN",REP,MI,6,2018
H6MI04113,C00658880,N,J,"UPTON, FREDERICK STEPHEN",REP,MI,6,2018
H6MN01174,C00409409,H,P,"WALZ, TIMOTHY J",DEM,MN,1,2018
H6MN01174,C00574780,N,J,"WALZ, TIMOTHY J",DEM,MN,1,2018
H6MN02149,C00638833,N,J,"LEWIS, JASON MARK MR.",REP,MN,2,2018
H6MN02149,C00589234,H,P,"LEWIS, JASON MARK MR.",REP,MN,2,2018
H6MN05183,C00422410,H,P,"ELLISON, KEITH MAURICE",DEM,MN,5,2018
H6MS01131,C00573980,H,P,"KELLY, JOHN TRENT TRENT",REP,MS,1,2018
H6NC04037,C00195628,H,P,"PRICE, DAVID E",DEM,NC,4,2018
H6NC13129,C00614776,H,P,"BUDD, THEODORE",REP,NC,13,2018
H6NE02125,C00575167,H,P,"BACON, DONALD J",REP,NE,2,2018
H6NE03115,C00412890,H,P,"SMITH, ADRIAN",REP,NE,3,2018
H6NH01230,C00419978,H,P,"SHEA-PORTER, CAROL",DEM,NH,1,2018
H6NJ05171,C00573949,H,P,"GOTTHEIMER, JOSH",DEM,NJ,5,2018
H6NJ08118,C00313510,H,P,"PASCRELL, WILLIAM J. JR.",DEM,NJ,9,2018
H6NJ12136,C00444224,H,P,"LANCE, LEONARD",REP,NJ,7,2018
H6NJ12136,C00624841,N,J,"LANCE, LEONARD",REP,NJ,7,2018
H6NJ13191,C00410753,H,P,"SIRES, ALBIO",DEM,NJ,8,2018
H6NY03031,,,,"ROSEN, JACKY",DEM,NV,3,2018
H6NY03031,C00213611,H,P,"SLAUGHTER, LOUISE",DEM,NY,25,2018
H6NY03247,C00607200,H,P,"SUOZZI, THOMAS",DEM,NY,3,2018
H6NY11174,C00571869,H,P,"DONOVAN, DAN",REP,NY,11,2018
H6NY19169,C00580415,H,P,"FASO, JOHN J. MR.",REP,NY,19,2018
H6OH04082,C00484360,N,J,"JORDAN, JAMES D.",REP,OH,4,2018
H6OH04082,C00416594,H,P,"JORDAN, JAMES D.",REP,OH,4,2018
H6OH08315,C00600718,H,P,"DAVIDSON, WARREN",REP,OH,8,2018
H6OR02116,C00333427,H,P,"WALDEN, GREGORY P. MR.",REP,OR,2,2018
H6OR02116,C00542787,N,J,"WALDEN, GREGORY P. MR.",REP,OR,2,2018
H6OR03064,C00307314,H,P,"BLUMENAUER, EARL",DEM,OR,3,2018
H6OR03064,C00415992,N,J,"BLUMENAUER, EARL",DEM,OR,3,2018
H6OR04047,C00215905,H,P,"DEFAZIO, PETER A",DEM,OR,4,2018
H6PA02171,C00591065,H,P,"EVANS, DWIGHT",DEM,PA,3,2018
H6PA08277,C00607416,H,P,"FITZPATRICK, BRIAN",REP,PA,1,2018
H6PA16320,C00599464,H,A,"SMUCKER, LLOYD K.",REP,PA,11,2018
H6TN01388,C00444471,H,P,"ROE, DAVID PHILLIP DR.",REP,TN,1,2018
H6TN09068,C00422980,H,P,"COHEN, STEPHEN IRA",DEM,TN,9,2018
H6TX02079,C00553859,H,P,"BABIN, BRIAN",REP,TX,36,2018
H6TX08100,C00531285,N,J,"BRADY, KEVIN",REP,TX,8,2018
H6TX08100,C00311043,H,P,"BRADY, KEVIN",REP,TX,8,2018
H6TX12060,C00310532,H,P,"GRANGER, KAY",REP,TX,12,2018
H6TX15162,C00592659,H,P,"GONZALEZ, VICENTE",DEM,TX,15,2018
H6TX19099,C00588657,H,P,"ARRINGTON, JODEY COOK",REP,TX,19,2018
H6TX21012,C00197160,H,P,"SMITH, LAMAR",REP,TX,21,2018
H6VA01117,C00256925,H,P,"SCOTT, ROBERT C MR",DEM,VA,3,2018
H6VA04061,C00610964,H,P,"MCEACHIN, ASTON DONALD",DEM,VA,4,2018
H6VA05142,C00638833,N,J,"GARRETT, THOMAS ALEXANDER MR. JR.",REP,VA,5,2018
H6VA05142,C00607101,H,P,"GARRETT, THOMAS ALEXANDER MR. JR.",REP,VA,5,2018
H6VT00160,C00413179,H,P,"WELCH, PETER",DEM,VT,0,2018
H6WA07458,C00605592,H,P,"JAYAPAL, PRAMILA",DEM,WA,7,2018
H6WA09025,C00304709,H,P,"SMITH, D. ADAM",DEM,WA,9,2018
H6WI03099,C00312017,H,P,"KIND, RONALD JAMES",DEM,WI,3,2018
H6WI08155,C00610212,H,P,"GALLAGHER, MICHAEL JOHN",REP,WI,8,2018
H6WY00159,C00607556,H,P,"CHENEY, ELIZABETH MRS.",REP,WY,0,2018
H8AZ08158,C00663914,H,P,"LESKO, DEBBIE",REP,AZ,8,2018
H8CA01109,C00326363,H,P,"THOMPSON, MIKE MR.",DEM,CA,5,2018
H8CA04152,C00446815,H,P,"MCCLINTOCK, THOMAS",REP,CA,4,2018
H8CA05035,C00492421,N,J,"PELOSI, NANCY",DEM,CA,12,2018
H8CA05035,C00213512,H,P,"PELOSI, NANCY",DEM,CA,12,2018
H8CA09060,C00331769,H,P,"LEE, BARBARA",DEM,CA,13,2018
H8CA12098,C00258475,H,P,"ESHOO, ANNA G",DEM,CA,18,2018
H8CA12171,C00443705,H,P,"SPEIER, JACKIE",DEM,CA,14,2018
H8CA20059,C00370056,H,P,"NUNES, DEVIN GERALD",REP,CA,22,2018
H8CA20059,C00544031,N,J,"NUNES, DEVIN GERALD",REP,CA,22,2018
H8CA20059,C00573352,H,J,"NUNES, DEVIN GERALD",REP,CA,22,2018
H8CA34068,C00334706,H,P,"NAPOLITANO, GRACE",DEM,CA,32,2018
H8CA34266,C00629659,H,P,"GOMEZ, JIMMY",DEM,CA,34,2018
H8CA34266,C00629659,H,P,"GOMEZ, JIMMY",DEM,CA,34,2018
H8CA42061,C00224691,H,P,"ROHRABACHER, DANA",REP,CA,48,2018
H8CA52052,C00433524,H,P,"HUNTER, DUNCAN D",REP,CA,50,2018
H8CO02137,C00435370,H,P,"POLIS, JARED",DEM,CO,2,2018
H8CO06138,C00629287,H,P,"COFFMAN, MIKE REP.",REP,CO,6,2018
H8CO06138,C00570457,H,A,"COFFMAN, MIKE REP.",REP,CO,6,2018
H8CO06138,C00528851,H,J,"COFFMAN, MIKE REP.",REP,CO,6,2018
H8CO06138,C00584730,N,J,"COFFMAN, MIKE REP.",REP,CO,6,2018
H8CT01046,C00330142,H,P,"LARSON, JOHN B",DEM,CT,1,2018
H8CT04172,C00434191,H,P,"HIMES, JIM",DEM,CT,4,2018
H8FL15107,C00444968,H,P,"POSEY, BILL",REP,FL,8,2018
H8FL16022,C00432906,H,P,"ROONEY, TOM MR.",REP,FL,17,2018
H8GA06286,C00634949,H,A,"HANDEL, KAREN CHRISTINE",REP,GA,6,2018
H8GA06286,C00633362,H,P,"HANDEL, KAREN CHRISTINE",REP,GA,6,2018
H8GA06286,C00634949,H,A,"HANDEL, KAREN CHRISTINE",REP,GA,6,2018
H8GA06286,C00633362,H,P,"HANDEL, KAREN CHRISTINE",REP,GA,6,2018
H8ID02064,C00331397,H,P,"SIMPSON, MICHAEL",REP,ID,2,2018
H8IL09067,C00327023,H,P,"SCHAKOWSKY, JANICE D",DEM,IL,9,2018
H8IL14067,C00435099,H,P,"FOSTER, G. WILLIAM (BILL)",DEM,IL,11,2018
H8IN07184,C00442921,H,P,"CARSON, ANDRE",DEM,IN,7,2018
H8KS02090,C00433730,H,P,"JENKINS, LYNN",REP,KS,2,2018
H8KS02090,C00491043,Q,D,"JENKINS, LYNN",REP,KS,2,2018
H8KS04112,C00632067,H,P,"ESTES, RON",REP,KS,4,2018
H8KS04112,C00632067,H,P,"ESTES, RON",REP,KS,4,2018
H8KY02031,C00624841,N,J,"GUTHRIE, S. BRETT HON.",REP,KY,2,2018
H8KY02031,C00445023,H,P,"GUTHRIE, S. BRETT HON.",REP,KY,2,2018
H8LA02054,C00451336,H,P,"RICHMOND, CEDRIC L.",DEM,LA,2,2018
H8MA02041,C00226522,H,P,"NEAL, RICHARD E MR.",DEM,MA,1,2018
H8MA05143,C00433136,H,P,"TSONGAS, NICOLA S",DEM,MA,3,2018
H8MA08071,C00336388,H,P,"CAPUANO, MICHAEL E",DEM,MA,7,2018
H8MD01094,C00435974,H,P,"HARRIS, ANDREW P",REP,MD,1,2018
H8ME01120,C00433391,H,P,"PINGREE, CHELLIE M",DEM,ME,1,2018
H8MN03077,C00439661,H,P,"PAULSEN, ERIK MR.",REP,MN,3,2018
H8MO09153,C00458679,H,P,"LUETKEMEYER, W BLAINE",REP,MO,3,2018
H8MO09153,C00447748,H,A,"LUETKEMEYER, W BLAINE",REP,MO,3,2018
H8MP00041,C00469882,H,P,"SABLAN, GREGORIO KILILI CAMACHO",IND,MP,0,2018
H8MS03067,C00441295,H,P,"HARPER, GREGG",REP,MS,3,2018
H8MS03067,C00494484,N,J,"HARPER, GREGG",REP,MS,3,2018
H8MT01182,C00631945,H,P,"GIANFORTE, GREG",REP,MT,0,2018
H8MT01182,C00631945,H,P,"GIANFORTE, GREG",REP,MT,0,2018
H8NJ03073,C00226928,H,P,"PALLONE, FRANK JR",DEM,NJ,6,2018
H8NJ04014,C00096412,H,P,"SMITH, CHRISTOPHER H",REP,NJ,4,2018
H8NM01257,C00501254,H,P,"LUJAN GRISHAM, MICHELLE",DEM,NM,1,2018
H8NM03196,C00443689,H,P,"LUJAN, BEN R MR.",DEM,NM,3,2018
H8NM03196,C00571885,N,J,"LUJAN, BEN R MR.",DEM,NM,3,2018
H8NM03196,C00610709,H,J,"LUJAN, BEN R MR.",DEM,NM,3,2018
H8NV03036,C00450577,Q,D,"TITUS, DINA",DEM,NV,1,2018
H8NV03036,C00499467,H,P,"TITUS, DINA",DEM,NV,1,2018
H8NY01148,C00552547,H,P,"ZELDIN, LEE M",REP,NY,1,2018
H8NY01148,C00573477,H,J,"ZELDIN, LEE M",REP,NY,1,2018
H8NY06048,C00430991,H,P,"MEEKS, GREGORY W.",DEM,NY,5,2018
H8NY06048,C00329375,H,A,"MEEKS, GREGORY W.",DEM,NY,5,2018
H8NY07046,C00338954,H,P,"CROWLEY, JOSEPH",DEM,NY,14,2018
H8NY07046,C00541086,N,J,"CROWLEY, JOSEPH",DEM,NY,14,2018
H8NY19058,C00236513,H,P,"ENGEL, ELIOT L.",DEM,NY,16,2018
H8NY20056,C00219881,H,P,"LOWEY, NITA M",DEM,NY,17,2018
H8NY21203,C00450049,H,P,"TONKO, PAUL DAVID",DEM,NY,20,2018
H8NY29032,C00562355,N,J,"COLLINS, CHRISTOPHER C",REP,NY,27,2018
H8NY29032,C00624841,N,J,"COLLINS, CHRISTOPHER C",REP,NY,27,2018
H8NY29032,C00520379,H,P,"COLLINS, CHRISTOPHER C",REP,NY,27,2018
H8OH01043,C00301838,H,P,"CHABOT, STEVE",REP,OH,1,2018
H8OH05036,C00438697,H,P,"LATTA, ROBERT EDWARD",REP,OH,5,2018
H8OH11141,C00454694,H,P,"FUDGE, MARCIA L",DEM,OH,11,2018
H8OH15076,C00565077,N,J,"STIVERS, STEVE MR.",REP,OH,15,2018
H8OH15076,C00589945,N,J,"STIVERS, STEVE MR.",REP,OH,15,2018
H8OH15076,C00441352,H,P,"STIVERS, STEVE MR.",REP,OH,15,2018
H8OR05107,C00446906,H,P,"SCHRADER, KURT",DEM,OR,5,2018
H8PA01153,C00333740,H,P,"BRADY, ROBERT A",DEM,PA,1,2018
H8PA05071,C00578716,H,J,"THOMPSON, GLENN",REP,PA,15,2018
H8PA05071,C00444620,H,P,"THOMPSON, GLENN",REP,PA,15,2018
H8PA18181,C00657411,H,P,"LAMB, CONOR",DEM,PA,17,2018
H8SC05158,C00633610,H,P,"NORMAN, RALPH W. JR.",REP,SC,5,2018
H8SC05158,C00633610,H,P,"NORMAN, RALPH W. JR.",REP,SC,5,2018
H8TN02069,C00229104,H,P,"DUNCAN, JOHN J REP. JR.",REP,TN,2,2018
H8TX22107,C00437913,H,P,"OLSON, PETER G.",REP,TX,22,2018
H8TX27049,C00655332,H,P,"CLOUD, MICHAEL",REP,TX,27,2018
H8UT03238,C00647180,O,U,"CURTIS, JOHN",REP,UT,3,2018
H8UT03238,C00654459,N,J,"CURTIS, JOHN",REP,UT,3,2018
H8UT03238,C00647339,H,P,"CURTIS, JOHN",REP,UT,3,2018
H8UT03238,C00647339,H,P,"CURTIS, JOHN",REP,UT,3,2018
H8UT03238,C00647180,O,U,"CURTIS, JOHN",REP,UT,3,2018
H8UT03238,C00654459,N,J,"CURTIS, JOHN",REP,UT,3,2018
H8VA01147,C00441014,H,P,"WITTMAN, ROBERT J MR.",REP,VA,1,2018
H8VA11062,C00445452,H,P,"CONNOLLY, GERALD EDWARD",DEM,VA,11,2018
H8WI01024,C00545947,N,J,"RYAN, PAUL D.",REP,WI,1,2018
H8WI01024,C00330894,H,P,"RYAN, PAUL D.",REP,WI,1,2018
H8WI09050,C00083428,H,P,"SENSENBRENNER, F. JAMES JR.",REP,WI,5,2018
S0AL00156,C00640623,S,P,"JONES, DOUG",DEM,AL,0,2018
S0AL00156,C00656710,N,J,"JONES, DOUG",DEM,AL,0,2018
S0AL00156,C00656710,N,J,"JONES, DOUG",DEM,AL,0,2018
S0AL00156,C00640623,S,P,"JONES, DOUG",DEM,AL,0,2018
S0CA00199,C00660084,N,J,"FEINSTEIN, DIANNE",DEM,CA,0,2018
S0CA00199,C00539890,S,P,"FEINSTEIN, DIANNE",DEM,CA,0,2018
S0CA00199,C00631705,S,J,"FEINSTEIN, DIANNE",DEM,CA,0,2018
S0CA00199,C00685057,N,J,"FEINSTEIN, DIANNE",DEM,CA,0,2018
S0CA00199,C00672857,N,J,"FEINSTEIN, DIANNE",DEM,CA,0,2018
S0NY00410,C00685057,N,J,"GILLIBRAND, KIRSTEN ELIZABETH",DEM,NY,0,2018
S0NY00410,C00631960,S,J,"GILLIBRAND, KIRSTEN ELIZABETH",DEM,NY,0,2018
S0NY00410,C00665166,S,J,"GILLIBRAND, KIRSTEN ELIZABETH",DEM,NY,0,2018
S0NY00410,C00413914,S,P,"GILLIBRAND, KIRSTEN ELIZABETH",DEM,NY,0,2018
S0WV00090,C00667501,S,J,"MANCHIN III, JOE",DEM,WV,0,2018
S0WV00090,C00631960,S,J,"MANCHIN III, JOE",DEM,WV,0,2018
S0WV00090,C00486563,S,P,"MANCHIN III, JOE",DEM,WV,0,2018
S0WV00090,C00682591,S,J,"MANCHIN III, JOE",DEM,WV,0,2018
S0WV00090,C00676817,S,J,"MANCHIN III, JOE",DEM,WV,0,2018
S0WV00090,C00636811,S,J,"MANCHIN III, JOE",DEM,WV,0,2018
S2AZ00141,C00547489,N,J,"FLAKE, JEFF",REP,AZ,0,2018
S2AZ00141,C00347260,S,P,"FLAKE, JEFF",REP,AZ,0,2018
S2AZ00141,C00652081,N,J,"FLAKE, JEFF",REP,AZ,0,2018
S2AZ00141,C00637181,S,J,"FLAKE, JEFF",REP,AZ,0,2018
S2CT00132,C00492645,S,P,"MURPHY, CHRISTOPHER S MR",DEM,CT,0,2018
S2CT00132,C00667493,S,J,"MURPHY, CHRISTOPHER S MR",DEM,CT,0,2018
S2CT00132,C00634360,S,J,"MURPHY, CHRISTOPHER S MR",DEM,CT,0,2018
S2CT00132,C00631960,S,J,"MURPHY, CHRISTOPHER S MR",DEM,CT,0,2018
S2HI00106,C00633925,N,J,"HIRONO, MAZIE K",DEM,HI,0,2018
S2HI00106,C00672857,N,J,"HIRONO, MAZIE K",DEM,HI,0,2018
S2HI00106,C00685057,N,J,"HIRONO, MAZIE K",DEM,HI,0,2018
S2HI00106,C00420760,S,P,"HIRONO, MAZIE K",DEM,HI,0,2018
S2HI00106,C00654251,S,J,"HIRONO, MAZIE K",DEM,HI,0,2018
S2IN00091,C00660639,S,J,"DONNELLY, JOSEPH S",DEM,IN,0,2018
S2IN00091,C00635300,S,J,"DONNELLY, JOSEPH S",DEM,IN,0,2018
S2IN00091,C00633925,N,J,"DONNELLY, JOSEPH S",DEM,IN,0,2018
S2IN00091,C00657569,S,J,"DONNELLY, JOSEPH S",DEM,IN,0,2018
S2IN00091,C00631960,S,J,"DONNELLY, JOSEPH S",DEM,IN,0,2018
S2IN00091,C00634360,S,J,"DONNELLY, JOSEPH S",DEM,IN,0,2018
S2IN00091,C00673293,S,J,"DONNELLY, JOSEPH S",DEM,IN,0,2018
S2IN00091,C00393652,S,P,"DONNELLY, JOSEPH S",DEM,IN,0,2018
S2IN00091,C00630202,N,J,"DONNELLY, JOSEPH S",DEM,IN,0,2018
S2IN00091,C00679340,S,J,"DONNELLY, JOSEPH S",DEM,IN,0,2018
S2IN00091,C00667501,S,J,"DONNELLY, JOSEPH S",DEM,IN,0,2018
S2MA00170,C00685057,N,J,"WARREN, ELIZABETH",DEM,MA,0,2018
S2MA00170,C00637173,S,J,"WARREN, ELIZABETH",DEM,MA,0,2018
S2MA00170,C00655688,S,J,"WARREN, ELIZABETH",DEM,MA,0,2018
S2MA00170,C00639815,N,J,"WARREN, ELIZABETH",DEM,MA,0,2018
S2MA00170,C00679217,S,J,"WARREN, ELIZABETH",DEM,MA,0,2018
S2MA00170,C00633073,S,J,"WARREN, ELIZABETH",DEM,MA,0,2018
S2MA00170,C00500843,S,P,"WARREN, ELIZABETH",DEM,MA,0,2018
